성별,특성구분,특성별,2010응답자수 (명),2010분율 (%),2010표준오차,2011응답자수 (명),2011분율 (%),2011표준오차,2012응답자수 (명),2012분율 (%),2012표준오차,2013응답자수 (명),2013분율 (%),2013표준오차,2014응답자수 (명),2014분율 (%),2014표준오차,2015응답자수 (명),2015분율 (%),2015표준오차,2016응답자수 (명),2016분율 (%),2016표준오차,2017응답자수 (명),2017분율 (%),2017표준오차,2018응답자수 (명),2018분율 (%),2018표준오차,2019응답자수 (명),2019분율 (%),2019표준오차,2020응답자수 (명),2020분율 (%),2020표준오차,2021응답자수 (명),2021분율 (%),2021표준오차
남자,거주지역별,동,2109,19.6,1.3,2033,19.6,1.4,1826,15.6,1.1,1804,14.9,1,1717,13.7,1.1,1879,14.7,1.1,2088,10.6,0.7,2211,9.1,0.8,2209,9.1,0.7,2179,6.1,0.5,2082,4.8,0.5,1921,3.3,0.5
남자,거주지역별,읍면,595,29,2.8,528,32.5,2.4,483,31,3.5,452,20.8,1.5,435,25.7,2.9,475,23.6,2.5,505,18.1,2.1,507,19.6,2.2,505,19,2.4,564,15.2,2.1,545,10.3,1.6,562,11,2.1
남자,소득수준별,하,521,18.4,1.7,509,19.5,2.4,444,17.4,2.3,443,15.6,2,418,14.3,2.3,461,16.9,1.9,522,12.4,1.6,537,10.7,1.7,539,11.8,1.9,552,7,1.3,517,5.3,1.1,500,4,1
남자,소득수준별,중하,533,17.9,2.3,503,23.6,2.6,452,17,2.6,448,16.1,1.9,433,16.8,2.2,460,13.4,1.8,518,10,1.5,534,9.8,1.3,541,10.9,1.6,542,8.5,1.3,525,5.8,1.1,493,4.7,1.3
남자,소득수준별,중,572,21.7,1.9,506,22,2.3,448,18.1,2.3,446,17.4,2,431,16,2.3,469,17.7,2.4,507,10.2,1.4,544,9,1.3,549,10.9,1.4,538,8.7,1.4,522,6,1.2,486,3.1,0.8
남자,소득수준별,중상,512,25.3,2.5,504,19.3,2.5,462,19,2.5,444,13.9,1.9,433,14.1,1.8,470,16.5,2.1,515,10.2,1.4,547,13.5,1.6,538,9.8,1.4,547,5,0.9,525,5.2,1,496,5.9,1
남자,소득수준별,상,537,26,3,517,26.9,3,476,22.6,2.5,461,16.6,2.1,434,17.5,2.3,479,16.9,2,522,15.6,1.8,549,10.5,1.6,538,8.4,1.4,552,9.1,1.4,532,6,1.1,497,5.1,1.1
남자,거주지역(표준화)별,동,2109,19.3,1.3,2033,19.5,1.4,1826,15.3,1.1,1804,15.1,1,1717,13.8,1.2,1879,14.9,1.1,2088,10.6,0.7,2211,8.9,0.8,2209,9,0.7,2179,5.9,0.5,2082,4.5,0.5,1921,3.1,0.5
남자,거주지역(표준화)별,읍면,595,28.1,2.8,528,31.7,3.2,483,32.1,4.1,452,20.8,1.8,435,27.4,3.8,475,23.9,3.5,505,18.6,2.5,507,17.5,2.2,505,16.3,2.2,564,13.4,2,545,9,1.6,562,8.3,2
남자,소득수준(표준화)별,하,521,18.2,1.7,509,19.1,2.3,444,17.3,2.3,443,15.2,2,418,14.6,2.4,461,16.7,2.1,522,12.3,1.6,537,10.4,1.7,539,10.9,1.8,552,6.3,1.2,517,4.6,1,500,3.6,1.1
남자,소득수준(표준화)별,중하,533,17.2,2.2,503,24.2,2.6,452,16.9,2.6,448,16.3,1.9,433,16.3,2.2,460,12.9,1.9,518,9.6,1.5,534,9.7,1.4,541,10.8,1.6,542,8.3,1.4,525,5.2,1.1,493,4,1.1
남자,소득수준(표준화)별,중,572,21.6,1.9,506,21.9,2.3,448,18.1,2.3,446,18,2.1,431,16.3,2.4,469,18.4,2.5,507,10.3,1.4,544,8.3,1.2,549,10.8,1.4,538,8.5,1.5,522,5.8,1.2,486,2.8,0.8
남자,소득수준(표준화)별,중상,512,25.5,2.5,504,19,2.5,462,18.1,2.4,444,13.9,2,433,13.7,1.8,470,17.2,2.2,515,10.3,1.5,547,13.3,1.7,538,9.4,1.3,547,4.6,0.9,525,5.4,1.1,496,5.2,1
남자,소득수준(표준화)별,상,537,26.1,3,517,27.1,3,476,22.7,2.6,461,16.9,2.1,434,17.8,2.4,479,16.8,2.1,522,16,1.9,549,9.9,1.5,538,7.9,1.5,552,8.3,1.3,532,5.5,1,497,5,1.2
